Nama,Kode,Stok,Kategori,Supplier,Deskripsi,Tanggal Dibuat,Tanggal Diubah,Harga Beli,Harga Jual Min,Harga Jual Max,Harga Jual
"Kamera Digital Canon EOS 200D II",KDC-EOS2K,15,"Electronics","PT Kamera Digital","Kamera DSLR entry level dengan layar LCD putar","2025-03-10","2025-03-10",4500000,1,1,5200000
"Smart TV LED 43inch LG Full HD",STV-LG43,20,"Electronics","PT Elektronik Visual","TV LED smart dengan resolusi full HD","2025-03-11","2025-03-11",3200000,1,3,3800000
"Smart TV LED 43inch LG Full HD",STV-LG43,20,"Electronics","PT Elektronik Visual","TV LED smart dengan resolusi full HD","2025-03-11","2025-03-11",3200000,4,"",3600000
"Kursi Gaming DXRacer Formula",KGG-FRM1,8,"Furniture","PT Gaming Gear","Kursi gaming ergonomis dengan bantalan punggung","2025-03-12","2025-03-12",2800000,1,1,3200000
"Mesin Cuci 2 Tabung Sharp",MCT-SHARP,30,"Home Appliance","PT Mesin Cuci Sehat","Mesin cuci 2 tabung hemat listrik","2025-03-13","2025-03-13",1500000,1,5,1800000
"Mesin Cuci 2 Tabung Sharp",MCT-SHARP,30,"Home Appliance","PT Mesin Cuci Sehat","Mesin cuci 2 tabung hemat listrik","2025-03-13","2025-03-13",1500000,6,"",1700000
"Kacamata Baca Anti Radiasi",KBR-ANTI,100,"Accessories","PT Optik Vision","Kacamata baca anti radiasi biru","2025-03-14","2025-03-14",45000,1,20,75000
"Kacamata Baca Anti Radiasi",KBR-ANTI,100,"Accessories","PT Optik Vision","Kacamata baca anti radiasi biru","2025-03-14","2025-03-14",45000,21,"",65000
"Vibrator Massager Relax",VM-RELAX1,25,"Health & Beauty","PT Alat Kesehatan","Vibrator massager untuk relaksasi otot","2025-03-15","2025-03-15",320000,1,3,420000
"Vibrator Massager Relax",VM-RELAX1,25,"Health & Beauty","PT Alat Kesehatan","Vibrator massager untuk relaksasi otot","2025-03-15","2025-03-15",320000,4,"",380000
"Set Alat Makan Rose Gold",SAM-RGD12,80,"Kitchenware","PT Perlengkapan Mewah","Set alat makan rose gold 12 pcs","2025-03-16","2025-03-16",180000,1,8,250000
"Set Alat Makan Rose Gold",SAM-RGD12,80,"Kitchenware","PT Perlengkapan Mewah","Set alat makan rose gold 12 pcs","2025-03-16","2025-03-16",180000,9,"",220000
"Obat Sakit Kepala Paracetamol",OSK-PCR5,200,"Pharmacy","PT Farmasi Sehat","Obat paracetamol 500mg untuk sakit kepala","2025-03-17","2025-03-17",2000,1,50,5000
"Obat Sakit Kepala Paracetamol",OSK-PCR5,200,"Pharmacy","PT Farmasi Sehat","Obat paracetamol 500mg untuk sakit kepala","2025-03-17","2025-03-17",2000,51,"",4500
